year,Territory/Province,avg temp,avg rain
1970,BC,8.592425401683228,97.22291060291056
1970,YT,-2.879878048780489,25.991160220994477
1970,NT,-4.7581497797356835,15.691450777202075
1970,NU,-9.146298788694498,18.814509803921588
1970,AB,3.0977437550362636,30.179809681423194
1970,SK,3.0303532008830056,32.310081112398635
1970,MB,3.1090452261306556,41.796210268948656
1970,ON,7.26913774973711,65.93357829282078
1970,QC,4.166254635352285,69.03405247813413
1970,NB,6.972000000000004,85.05533333333332
1970,NS,8.141506129597197,94.7911564625851
1970,PE,7.754166666666664,72.33452380952383
1970,NL,5.2378947368421045,88.55364238410591
1970,XX,9.316666666666666,67.78333333333335
1971,BC,8.592425401683228,97.22291060291056
1971,YT,-2.879878048780489,25.991160220994477
1971,NT,-4.7581497797356835,15.691450777202075
1971,NU,-9.146298788694498,18.814509803921588
1971,AB,3.0977437550362636,30.179809681423194
1971,SK,3.0303532008830056,32.310081112398635
1971,MB,3.1090452261306556,41.796210268948656
1971,ON,7.26913774973711,65.93357829282078
1971,QC,4.166254635352285,69.03405247813413
1971,NB,6.972000000000004,85.05533333333332
1971,NS,8.141506129597197,94.7911564625851
1971,PE,7.754166666666664,72.33452380952383
1971,NL,5.2378947368421045,88.55364238410591
1971,XX,9.316666666666666,67.78333333333335
1972,BC,8.592425401683228,97.22291060291056
1972,YT,-2.879878048780489,25.991160220994477
1972,NT,-4.7581497797356835,15.691450777202075
1972,NU,-9.146298788694498,18.814509803921588
1972,AB,3.0977437550362636,30.179809681423194
1972,SK,3.0303532008830056,32.310081112398635
1972,MB,3.1090452261306556,41.796210268948656
1972,ON,7.26913774973711,65.93357829282078
1972,QC,4.166254635352285,69.03405247813413
1972,NB,6.972000000000004,85.05533333333332
1972,NS,8.141506129597197,94.7911564625851
1972,PE,7.754166666666664,72.33452380952383
1972,NL,5.2378947368421045,88.55364238410591
1972,XX,9.316666666666666,67.78333333333335
1973,BC,8.592425401683228,97.22291060291056
1973,YT,-2.879878048780489,25.991160220994477
1973,NT,-4.7581497797356835,15.691450777202075
1973,NU,-9.146298788694498,18.814509803921588
1973,AB,3.0977437550362636,30.179809681423194
1973,SK,3.0303532008830056,32.310081112398635
1973,MB,3.1090452261306556,41.796210268948656
1973,ON,7.26913774973711,65.93357829282078
1973,QC,4.166254635352285,69.03405247813413
1973,NB,6.972000000000004,85.05533333333332
1973,NS,8.141506129597197,94.7911564625851
1973,PE,7.754166666666664,72.33452380952383
1973,NL,5.2378947368421045,88.55364238410591
1973,XX,9.316666666666666,67.78333333333335
1974,BC,8.592425401683228,97.22291060291056
1974,YT,-2.879878048780489,25.991160220994477
1974,NT,-4.7581497797356835,15.691450777202075
1974,NU,-9.146298788694498,18.814509803921588
1974,AB,3.0977437550362636,30.179809681423194
1974,SK,3.0303532008830056,32.310081112398635
1974,MB,3.1090452261306556,41.796210268948656
1974,ON,7.26913774973711,65.93357829282078
1974,QC,4.166254635352285,69.03405247813413
1974,NB,6.972000000000004,85.05533333333332
1974,NS,8.141506129597197,94.7911564625851
1974,PE,7.754166666666664,72.33452380952383
1974,NL,5.2378947368421045,88.55364238410591
1974,XX,9.316666666666666,67.78333333333335
1975,BC,8.592425401683228,97.22291060291056
