year,avg temp,avg rain
1970,2.9720218209476954,67.41661688019066
1971,3.1193933954674953,73.11497631897109
1972,2.056729521875985,76.28152613708866
1973,3.8310577931793772,73.62409872222612
1974,2.897705511548246,73.83814721219441
1975,3.181976155173236,73.26325899159649
1976,3.390104388496157,74.79916764115393
1977,3.782444695429437,73.19619399945867
1978,2.8656854321372136,66.42529581399383
1979,3.433099994573679,70.91811172533245
1980,3.3705406767962836,74.25088024458472
1981,4.689304557321415,75.54250437900721
1982,2.649841256449243,71.6867278510356
1983,3.8915928882971964,76.69532936954853
1984,3.6845582104804486,73.93333782506919
1985,2.805481807345467,65.29877439128582
1986,3.690925507252302,73.63746196097297
1987,4.934067109853614,64.74984150526386
1988,4.169544673348001,71.00983760514639
1989,3.292302532399434,68.33358322966188
1990,4.037350927174072,79.8204278616301
1991,4.197823315566315,73.26006848590457
1992,3.7618041324631815,71.09322980539336
1993,3.5239868736619724,71.05740769728926
1994,3.8447569706407845,71.88890907879241
1995,3.4838741005717324,74.06860014422593
1996,2.5220361973272203,77.6357463022052
1997,3.48633533342221,72.89588388510782
1998,4.914461171125342,69.9872376730422
1999,4.393558145624599,73.96720667034943
2000,3.34039842534466,69.36739241287016
2001,4.209920905847062,62.420557668899015
2002,3.275583089646853,64.34305262682379
2003,3.4007287211378823,67.66019551158303
2004,3.1090609185503193,63.92734410897332
2005,3.7396183666136746,70.8228895817441
2006,4.429774810405014,67.48459372392352
2007,3.2227056738025808,65.41932208463994
2008,2.9551697486337702,64.19005707898148
2009,2.893721158959678,61.65264180501628
2010,4.391988235495473,65.88707273983023
2011,3.625511902336074,68.8105100411765
2012,4.243818895846155,64.21606526731286
2013,3.204507985259904,61.40746852701745
2014,2.960054020979411,65.0155863503737
2015,3.963979686592594,60.69117591813111
2016,4.548406777245352,65.30588909209267
2017,3.7760613244881007,61.28656997613414
2018,2.923905704066529,60.38745402903218
2019,2.3659055672515064,58.08309139548871
2020,3.0691689140117853,59.8468410543679
2021,3.5006531689526086,56.12032700593273
2022,2.7490315274731216,58.40916015438032
2023,4.174647627788027,54.40494778546909
2024,4.207325378386385,59.99753597954742
